iter	Passed	Remaining
0	143	142919
1	143	71393
2	146	48600
3	145	36246
4	146	29203
5	148	24670
6	149	21257
7	150	18701
8	151	16715
9	153	15159
10	155	13959
11	156	12912
12	157	11991
13	159	11222
14	160	10535
15	162	9999
16	163	9476
17	164	8989
18	167	8667
19	169	8287
20	170	7926
21	170	7597
22	172	7312
223	177	7235224	179	7017225	181	6782
26	183	6613227	185	6445
28	187	6270
29	189	6125330	191	5974
31	192	5808332	197	5778333	198	5632334	200	5520335	202	5417336	203	5290337	204	5186
38	206	5087
39	208	4993
40	209	4904441	210	4811442	212	4724443	214	466444	212	4510
445	217	450646	214	4355
447	220	4373448	222	432249	221	4204
550	224	4184551	227	4146552	229	4100553	231	4051554	233	4016555	235	3973
56	236	3913
57	237	3862
58	239	3825
59	241	3777660	242	3736
61	243	3685
62	245	3646663	247	3613664	248	3569665	249	3527666	251	3506
67	253	3473668	254	343669	251	3346
70	254	3335
71	255	3296
772	261	3316773	262	328374	263	3249
75	264	3216
76	265	3183
77	268	3179
78	270	3155
79	272	3132
80	273	3101
81	275	3088
82	277	3069
83	279	3044
84	280	3016
85	283	3016
86	285	2997
887	290	3007888	292	2995889	294	2974990	295	2948991	297	293692	296	2890
993	300	289294	299	2849
95	300	2829
96	302	2812
97	303	2792
998	306	279199	306	2754
100	308	2748
101	309	2726
102	310	2708
103	313	2697
104	314	2680
105	316	2670
106	317	2653
107	317	2626
108	320	2616
109	321	2601
110	324	2596
111	325	2581
112	327	2569
113	328	2550
114	329	2536
115	330	2520
116	332	2507
117	333	2493
118	334	2475
119	338	2480
120	339	2467
121	339	2443
122	340	2428
123	344	2422
124	346	2422
125	349	2421
126	350	2407
127	351	2395
128	355	2399
129	356	2389
130	357	2374
131	358	2360
132	359	2346
133	361	2333
134	362	2320
135	363	2310
136	364	2299
137	369	2310
1138	374	2320139	372	2291
1140	378	23021141	382	23091142	384	23011143	387	2303
144	388	2292
145	389	2281
146	392	2279
147	393	2266
148	395	2258
149	396	2247
150	399	2248
151	401	2238
152	402	2229
153	404	2223
154	405	2211
155	407	2202
156	409	2199
157	413	2201
158	414	2193
159	418	2198
160	419	2187
161	421	2182
162	423	2174
163	424	2164
164	427	2162
165	428	2152
166	431	2149
167	432	2140
168	433	2129
169	434	2120
170	437	2122
171	439	2115
172	440	2106
173	442	2099
174	444	2095
175	445	2086
176	447	2079
177	448	2072
178	451	2070
179	452	2063
180	454	2055
181	456	2053
182	458	2046
183	460	2043
184	463	2044
185	465	2035
186	466	2026
187	467	2018
188	469	2015
189	470	2007
190	473	2004
191	477	2008
192	478	1999
193	479	1991
194	482	1993
195	484	1988
196	485	1980
197	486	1971
198	488	1966
199	490	1960
200	491	1955
201	493	1948
202	494	1941
203	496	1937
204	497	1928
205	498	1920
206	501	1920
207	502	1913
208	504	1907
209	506	1906
210	509	1904
211	510	1897
212	512	1892
213	515	1892
214	517	1890
215	519	1887
216	520	1879
217	522	1874
218	525	1872
